site_id,round,model_slug,model_name,runner,runner_config,model_invocation,prompt_sha256,prompt_file,command_template,primary_log_recorded,start_at,end_at,exit_code,retry_note
r5-minimax-m3,r5,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r5-claude-opus-4-8,r5,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T22:53:06+08:00,2026-06-15T22:59:38+08:00,0,
r6-deepseek-v4-pro,r6,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r6-kimi-k2.7-code,r6,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r6-qwen3.7-max,r6,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r6-glm-x-preview,r6,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
r6-minimax-m3,r6,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r6-claude-opus-4-8,r6,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T22:53:06+08:00,2026-06-15T22:59:10+08:00,0,
r7-deepseek-v4-pro,r7,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r7-kimi-k2.7-code,r7,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r7-qwen3.7-max,r7,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r7-glm-x-preview,r7,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
r7-minimax-m3,r7,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r7-claude-opus-4-8,r7,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T22:59:38+08:00,2026-06-15T23:06:14+08:00,0,
r8-deepseek-v4-pro,r8,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r8-kimi-k2.7-code,r8,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r8-qwen3.7-max,r8,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r8-glm-x-preview,r8,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
r8-minimax-m3,r8,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r8-claude-opus-4-8,r8,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T23:12:32+08:00,2026-06-15T23:22:40+08:00,0,Previous database-locked attempt recorded locally; final run used primary log.
r9-deepseek-v4-pro,r9,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r9-kimi-k2.7-code,r9,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r9-qwen3.7-max,r9,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r9-glm-x-preview,r9,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
r9-minimax-m3,r9,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r9-claude-opus-4-8,r9,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T23:06:14+08:00,2026-06-15T23:12:09+08:00,0,
r10-deepseek-v4-pro,r10,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r10-kimi-k2.7-code,r10,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r10-qwen3.7-max,r10,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r10-glm-x-preview,r10,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
r10-minimax-m3,r10,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r10-claude-opus-4-8,r10,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T23:22:40+08:00,2026-06-15T23:29:25+08:00,0,Previous database-locked attempt recorded locally; final run used primary log.
