rank,round,model,runner,port,score,grade,old_total,loading,graph_old25,articles_old25,visual,interaction,evidence
27,r2,Qwen,historical-local,8306,82.4,B+,80,11,22,16,18,13,"core routes load; graph rendered (0 canvas, 1 rich svg); article weakness: 104 links, detail text 139/154; visual signals: cssVars=14, purple=yes, mobileOverflow=no."
28,r10,Kimi,historical-local,8337,82.4,B+,80,11,22,16,18,13,"core routes load; graph rendered (0 canvas, 1 rich svg); article weakness: 104 links, detail text 120/134; visual signals: cssVars=17, purple=no, mobileOverflow=no."
29,r3,Kimi,historical-local,8309,82.2,B+,85,15,18,25,18,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=18, purple=no, mobileOverflow=no."
30,r6,Qwen,historical-local,8322,80,B,82,15,20,25,7,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
31,r1,MiniMax,historical-local,8341,79,B,85,15,10,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=21, purple=yes, overflow=no."
32,r5,MiniMax,historical-local,8345,79,B,85,15,10,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=22, purple=yes, overflow=no."
33,r7,MiniMax,historical-local,8347,79,B,85,15,10,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=37, purple=yes, overflow=no."
34,r1,GLM,historical-local,8303,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=24, purple=yes, mobileOverflow=no."
35,r2,GLM,historical-local,8307,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=23, purple=no, mobileOverflow=no."
36,r8,GLM,historical-local,8331,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=yes, mobileOverflow=no."
37,r6,MiniMax,historical-local,8346,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=no, overflow=no."
38,r8,MiniMax,historical-local,8348,77,B,83,15,10,25,20,13,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=28, purple=yes, overflow=no."
39,r3,Qwen,historical-local,8310,76.2,B,79,13,18,25,14,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=9, purple=yes, mobileOverflow=no."
40,r10,Qwen,historical-local,8338,75.4,B,77,15,21,25,7,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
41,r5,Opus 4.8,historical-local,8355,75,B,81,15,10,25,16,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=12, purple=no, mobileOverflow=no."
42,r6,DeepSeek,historical-local,8320,74.4,C+,78,15,16,25,9,13,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
43,r10,MiniMax,historical-local,8350,73,C+,79,15,10,25,16,13,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=22, purple=no, overflow=no."
44,r7,GLM,historical-local,8327,72.8,C+,80,15,7,25,20,13,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=yes, mobileOverflow=no."
