rank,round,model,port,score,grade,old_total,loading,graph_old25,articles_old25,visual,interaction,evidence
29,r1,Kimi,8301,86.8,B+,90,15,17,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=no, mobileOverflow=no."
30,r1,Step,8362,86.8,B+,90,15,17,25,18,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=15, purple=yes, mobileOverflow=no."
31,r2,DeepSeek,8304,86.4,B+,88,15,21,25,18,9,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=14, purple=no, mobileOverflow=no."
32,r2,Qwen,8306,82.4,B+,80,11,22,16,18,13,"core routes load; graph rendered (0 canvas, 1 rich svg); article weakness: 104 links, detail text 139/154; visual signals: cssVars=14, purple=yes, mobileOverflow=no."
33,r10,Kimi,8337,82.4,B+,80,11,22,16,18,13,"core routes load; graph rendered (0 canvas, 1 rich svg); article weakness: 104 links, detail text 120/134; visual signals: cssVars=17, purple=no, mobileOverflow=no."
34,r3,Kimi,8309,82.2,B+,85,15,18,25,18,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=18, purple=no, mobileOverflow=no."
35,r6,Qwen,8322,80,B,82,15,20,25,7,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
36,r1,MiniMax,8341,79,B,85,15,10,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=21, purple=yes, overflow=no."
37,r5,MiniMax,8345,79,B,85,15,10,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=22, purple=yes, overflow=no."
38,r7,MiniMax,8347,79,B,85,15,10,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=37, purple=yes, overflow=no."
39,r8,Doubao,8375,77.6,B,84,15,9,25,20,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=yes, mobileOverflow=no."
40,r1,Doubao,8361,77.4,B,79,15,21,25,9,9,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
41,r1,GLM,8303,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=24, purple=yes, mobileOverflow=no."
42,r2,GLM,8307,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=23, purple=no, mobileOverflow=no."
43,r8,GLM,8331,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=yes, mobileOverflow=no."
44,r6,MiniMax,8346,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=no, overflow=no."
45,r8,MiniMax,8348,77,B,83,15,10,25,20,13,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=28, purple=yes, overflow=no."
46,r2,Doubao,8363,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=13, purple=no, mobileOverflow=no."
47,r5,Step,8370,77,B,83,15,10,25,18,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=10, purple=no, mobileOverflow=no."
48,r3,Qwen,8310,76.2,B,79,13,18,25,14,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=9, purple=yes, mobileOverflow=no."
49,r10,Qwen,8338,75.4,B,77,15,21,25,7,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
50,r7,Step,8374,75.4,B,77,15,21,25,7,9,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
51,r5,Opus 4.8,8355,75,B,81,15,10,25,16,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=12, purple=no, mobileOverflow=no."
52,r7,Doubao,8373,75,B,81,15,10,25,16,15,"core routes load; graph shell only (0 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=16, purple=no, mobileOverflow=no."
53,r6,DeepSeek,8320,74.4,C+,78,15,16,25,9,13,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=0, purple=no, mobileOverflow=no."
