model,scored_runs,score_avg,score_avg_rank,score_min,score_max,graph_avg,articles_avg,visual_avg,interaction_avg,opencode_calls,opencode_calls_rank,opencode_sessions,opencode_wall_minutes,opencode_wall_minutes_rank,opencode_input_tokens,opencode_output_tokens,opencode_reasoning_tokens,opencode_cache_read_tokens,opencode_total_visible_tokens,opencode_total_visible_tokens_rank,opencode_cache_read_share,avg_tokens_per_call,calls_per_scored_run,minutes_per_scored_run,platform_cash_cny,platform_calls,platform_total_tokens,platform_note,raw_model,effective_cny_per_1m_cache_read,effective_cny_per_1m_visible_tokens,effective_cny_per_call,effective_cny_per_score_point
GLM,10,85.46,1,72.8,93.8,15.9,25.0,18.4,14.8,321,4,13,69.74,4,708364,249889,53939,13709312,14721504,4,0.951,45861.0,32.1,7.0,40.1-41.6 estimated,,,estimated from domestic GLM-5.2 API pricing: input 8 RMB/M output 28 RMB/M cache hit 2 RMB/M cache storage limited-time free,zhipuai/glm-x-preview,3.034,2.825,0.13,0.487
Opus 4.8,10,85.2,2,57.8,98.0,18.6,24.6,16.0,13.4,306,3,10,73.34,5,612,322509,0,14247005,14570126,3,1.0,47615.0,30.6,7.3,202.5,,,user-supplied actual test spend,anthropic/claude-opus-4-8,14.214,13.898,0.662,2.377
Qwen,10,82.38,3,66.2,93.8,19.8,24.1,13.4,12.4,218,1,9,53.29,2,891417,130644,12319,7268352,8302732,1,0.891,38086.0,21.8,5.3,23.5,,,user-supplied actual test spend,alibaba-cn/qwen3.7-max,3.233,2.83,0.108,0.285
Kimi,10,80.32,4,51.6,93.8,15.9,24.1,15.4,13.6,423,5,12,90.0,6,907371,259398,0,24897280,26064049,7,0.965,61617.0,42.3,9.0,164.6,,,user-supplied actual test spend,moonshotai/kimi-k2.7-code,6.611,6.315,0.389,2.049
Doubao,10,78.76,5,55.6,100.0,15.5,24.6,14.9,12.6,449,7,18,128.91,7,1884972,292703,26720,16552000,18756395,5,0.898,41774.0,44.9,12.9,41.34,477,18978799,Volcengine PDF bill + console screenshot,volcengine-ark/doubao-seed-2-1-pro-260628,2.498,2.204,0.092,0.525
MiniMax,10,77.44,6,52.6,95.8,11.9,23.3,18.8,13.6,653,8,10,153.9,8,1733612,411846,3197,38082757,40231412,8,0.956,61610.0,65.3,15.4,23.2,,,user-supplied actual test spend,minimax-openai/MiniMax-M3,0.609,0.577,0.036,0.3
Step,10,68.3,7,53.0,87.8,11.5,25.0,11.4,10.8,443,6,11,57.4,3,2319431,286231,0,20716032,23321694,6,0.899,52645.0,44.3,5.7,0 cash; 11.197 gift deduction,,23413529,"Step XLSX usage history; gift deduction, no cash spend",stepfun/step-3.7-flash,0.54,0.48,0.025,0.164
DeepSeek,10,67.14,8,39.2,96.0,11.7,24.1,9.8,11.9,223,2,10,46.73,1,385923,163375,37692,9497344,10084334,2,0.961,45221.0,22.3,4.7,17.1,,,user-supplied actual test spend,deepseek/deepseek-v4-pro,1.801,1.696,0.077,0.255
